Time (s),Displacement (m),Force (N)
0,0,0
0.17,0.03,49.2
0.33,0.05,87
0.5,0.08,129.6
0.67,0.1,163.5
0.83,0.13,230.8
1,0.15,240
1.17,0.18,317.4
1.33,0.2,349.5
1.5,0.23,392.7
1.67,0.25,376.8
1.83,0.28,361.6
2,0.3,377.2
2.17,0.33,320.2
2.33,0.36,330
2.5,0.38,282.4
2.67,0.41,280.5
2.83,0.43,277.3
3,0.46,257.9
3.17,0.48,215.9
3.33,0.51,212.9
3.5,0.53,193.4
3.67,0.56,159.8
3.83,0.58,157.5
4,0.61,127.1
4.17,0.64,105.6
4.33,0.66,84.9
4.5,0.69,58
4.67,0.71,43.3
4.83,0.74,16.1
5,0.76,0
